DAUID,POPDENSE
10010725,5.5
10010726,5.7
10010727,3.6
10010728,1.8
10010729,9.4
10010730,9.7
10010731,3.6
10010732,0
10010733,58.4
10010734,131.5
10010735,21.8
10010736,3.2
10010737,5.5
10010738,8.4
10010739,5.7
10010740,2.4
10010741,1.2
10010742,48.6
10010743,41.8
10010744,30.4
10010745,11.7
10010746,0.1
10010747,14.1
10010748,43.1
10010749,3.5
10010750,0.8
10010751,10.1
10010752,12.7
10010753,18.6
10010754,230.5
10010755,706
10010756,165.5
10010757,3407.5
10010758,837.6
10010759,210.7
10010760,21.6
10010761,61.5
10010762,12.1
10010763,0
10010764,251.3
10010765,407
10010766,273
10010767,138.1
10010768,51.1
10010769,128.1
10010770,591.1
10010771,178.3
10010772,70.7
10010773,23.6
10010774,5976.6
10010775,829.1
10010776,293.3
10010777,140.4
10010778,473.6
10010779,752.9
10010780,748.8
10010781,197.6
10010782,662.2
10010783,779.5
10010784,572.6
10010785,401.4
10010786,49.9
10010787,145.1
10010788,28.3
10010789,27.8
10010790,32.1
10010791,716.8
10010792,91.3
10010793,94.8
10010794,77.4
10010795,264.8
10010796,130.2
10010797,10.2
10010798,120.5
10010799,321.7
10010800,244.3
10010801,489.1
10010802,169.3
10010803,204.5
10010804,433.3
10010805,939
10010806,714.5
10010807,170.7
10010808,428.6
10010809,106
10010810,217.9
10010811,81.2
10010812,943.3
10010813,73.7
10010814,402.1
10010815,759.4
10010817,721.1
10010818,3290.4
10010820,2052.3
10010821,197.2
10010822,2079
10010823,2802.5
10010824,234.9
10010825,15.9
10010826,2034.5
10010827,2057.5
1002,3.3
10020079,0.5
10020080,0
10020081,0.4
10020082,16.7
10020083,51.1
10020084,25.7
10020085,39.8
10020086,0.3
10020087,85.5
10020088,65.5
10020089,26.2
10020090,0
10020091,32.9
10020092,43.4
10020093,1.5
10020094,14.5
10020095,2.5
10020096,7.2
10020097,87.4
10020098,667.1
10020099,43
10020100,173.1
10020101,181.1
10020102,3585.5
10020103,295.8
10020104,23.2
10020105,8.3
10020106,112.2
10020107,70.6
10020108,11.5
10020109,0
10020110,54.2
10020111,127.8
10020112,83.4
10020113,1.8
10020114,59.9
10020115,42.8
10020116,96.4
10020117,0.6
10020118,58
10020119,1692.7
10020120,16.7
10020121,0
10020122,119
10020123,290.4
10020124,5.2
10020125,3.3
10020126,22.5
10020127,3.6
10020128,10.1
10020129,1480.8
